start_time,request_id,workspace,model,input_tokens,output_tokens,cache_read_input_tokens,cache_creation_input_tokens,stop_reason,status,session_id,prompt_prefix_hash,prompt_full_hash
2026-08-08 07:05:24+00:00,req-00000109,support_triage,claude-opus-5,1197,38,0,0,stop,ok,9805ed7e4a55c82c,ba10f06cd6ad2b84,6ec927816c5723d8
2026-08-08 07:07:15+00:00,req-00000123,support_triage,claude-opus-5,1097,17,0,0,stop,ok,4e8cb957527c5f8e,ba10f06cd6ad2b84,0c156a9c61b8b04c
2026-08-08 07:14:12+00:00,req-00000114,support_triage,claude-opus-5,1188,23,0,0,stop,ok,7a9650174559ec4c,ba10f06cd6ad2b84,34572a5ef26a8df5
2026-08-08 07:16:08+00:00,req-00000032,support_triage,claude-opus-5,1497,17,0,0,stop,ok,8cd87466b2d738e1,ba10f06cd6ad2b84,65a77791b8b1a419
2026-08-08 07:18:54+00:00,req-00000130,support_triage,claude-opus-5,1089,46,0,0,stop,ok,3f71308af522d252,ba10f06cd6ad2b84,f2f55c98296421aa
2026-08-08 07:22:09+00:00,req-00000100,support_triage,claude-opus-5,1273,49,0,0,stop,ok,7277e33212e27394,ba10f06cd6ad2b84,66a2cbe8c709107b
2026-08-08 07:27:48+00:00,req-00000087,support_triage,claude-opus-5,1075,18,0,0,stop,ok,6397870ad8efa166,ba10f06cd6ad2b84,fe875b09fc311dab
2026-08-08 07:31:03+00:00,req-00000019,support_triage,claude-opus-5,1352,18,0,0,stop,ok,59c9b2f27fc5b539,ba10f06cd6ad2b84,23304dd46e334373
2026-08-08 07:34:58+00:00,req-00000141,support_triage,claude-opus-5,1486,13,0,0,stop,ok,5426fe8ea0914a63,ba10f06cd6ad2b84,c9b7560b933447cd
2026-08-08 07:36:48+00:00,req-00000045,support_triage,claude-opus-5,1342,30,0,0,stop,ok,b0bb65f3ab1c2726,ba10f06cd6ad2b84,59d5e41b31fbbf5e
2026-08-08 07:41:53+00:00,req-00000054,support_triage,claude-opus-5,1584,29,0,0,stop,ok,e1bcddeb0f35444b,ba10f06cd6ad2b84,d3b429421bc99dd4
2026-08-08 07:42:32+00:00,req-00000013,support_triage,claude-opus-5,1152,31,0,0,stop,ok,44670bd8aa26ff85,ba10f06cd6ad2b84,5c86e1f2019a9362
2026-08-08 07:46:37+00:00,req-00000145,support_triage,claude-opus-5,1083,35,0,0,stop,ok,8f5fd0f8fa4aaaa5,ba10f06cd6ad2b84,8c8ec4ecf0d13be9
2026-08-08 07:47:05+00:00,req-00000017,support_triage,claude-opus-5,1100,49,0,0,stop,ok,77685d058d37a908,ba10f06cd6ad2b84,953959574dc31ee1
2026-08-08 07:48:48+00:00,req-00000007,support_triage,claude-opus-5,1601,41,0,0,stop,ok,c12cee12da970f45,ba10f06cd6ad2b84,11899fd60db23333
2026-08-08 08:01:56+00:00,req-00002116,doc_summariser,claude-sonnet-4-5,7782,281,0,0,stop,ok,3abf308fb4c63d1c,c3a03e2feb85cd25,3191f0bc5ddf9ead
2026-08-08 08:07:10+00:00,req-00002133,doc_summariser,claude-sonnet-4-5,7756,721,0,0,stop,ok,61a542e08562088b,c3a03e2feb85cd25,45fa167470dbfcb9
2026-08-08 08:11:15+00:00,req-00019428,invoice_parser,claude-haiku-4-5,833,145,0,2800,stop,ok,a24ae2f15a3f0df5,74e7dd927681bbac,f4140b4a699c8238
2026-08-08 08:11:27+00:00,req-00000124,support_triage,claude-opus-5,1270,29,0,0,stop,ok,0384706630d5ecc2,ba10f06cd6ad2b84,fb28b824090f3c0e
2026-08-08 08:12:17+00:00,req-00002118,doc_summariser,claude-sonnet-4-5,8353,396,0,0,stop,ok,df7e6ee38c30195e,c3a03e2feb85cd25,413d2aa32150d373
2026-08-08 08:13:52+00:00,req-00019431,invoice_parser,claude-haiku-4-5,1520,137,2800,0,stop,ok,552c36b64e71e355,74e7dd927681bbac,0a43a2a880ba8163
2026-08-08 08:15:51+00:00,req-00002105,doc_summariser,claude-sonnet-4-5,7494,232,0,0,stop,ok,2cd9fd1b88323b50,c3a03e2feb85cd25,3ec0ff81d02d51ff
2026-08-08 08:18:28+00:00,req-00019400,invoice_parser,claude-haiku-4-5,909,66,2800,0,stop,ok,152dde70b97032b4,74e7dd927681bbac,ad36c1eee942ce79
2026-08-08 08:18:32+00:00,req-00000098,support_triage,claude-opus-5,1246,17,0,0,stop,ok,9ae664e24d7565fb,ba10f06cd6ad2b84,bc2f16c3cd8eeac6
2026-08-08 08:22:29+00:00,req-00000135,support_triage,claude-opus-5,1359,31,0,0,stop,ok,f0cb678cdd026786,ba10f06cd6ad2b84,b0b15ac064620176
2026-08-08 08:30:31+00:00,req-00019364,invoice_parser,claude-haiku-4-5,1960,76,0,2800,stop,ok,489447bf5c5f5869,74e7dd927681bbac,9fc73e16a6f81fd4
2026-08-08 08:30:47+00:00,req-00000001,support_triage,claude-opus-5,1212,13,0,0,stop,ok,745318c3cd0bd005,ba10f06cd6ad2b84,e39d83650c987e08
2026-08-08 08:33:35+00:00,req-00002115,doc_summariser,claude-sonnet-4-5,7956,188,0,0,stop,ok,565514f7bae4b8af,1e1fc5c2d26ead34,8e3018a2c9ffe2e1
2026-08-08 08:34:56+00:00,req-00000127,support_triage,claude-opus-5,1570,30,0,0,stop,ok,bcf5c9630106f718,ba10f06cd6ad2b84,d87980ef6b9b7beb
2026-08-08 08:36:37+00:00,req-00019387,invoice_parser,claude-haiku-4-5,372,133,0,2800,stop,ok,531120104b585117,74e7dd927681bbac,9b0aa9a16f96884c
2026-08-08 08:42:02+00:00,req-00019361,invoice_parser,claude-haiku-4-5,1769,144,0,2800,stop,ok,31640d24205ad111,74e7dd927681bbac,1525468c549c08d9
2026-08-08 08:42:37+00:00,req-00000131,support_triage,claude-opus-5,1113,37,0,0,stop,ok,e88c05148ddb146f,ba10f06cd6ad2b84,068c5d9f3756195a
