ts,request_id,session_id,agent,provider,model,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,cache_write_ttl,status,error_code,finish_reason,latency_ms,is_batch,prompt_prefix_hash,prompt_full_hash,prompt_chars
2026-07-03 01:01:19+00:00,req-00029402,,nightly_enrichment,openai,gpt-5,1468,225,0,0,,ok,,stop,2982.0,False,bd92b107232016ba,964cc5270ad7d6f1,5725
2026-07-03 01:01:30+00:00,req-00029040,,nightly_enrichment,openai,gpt-5,1153,96,0,0,,ok,,stop,1056.0,False,bd92b107232016ba,51fb671be9c9f4fb,4496
2026-07-03 01:01:44+00:00,req-00028907,,nightly_enrichment,openai,gpt-5,1959,0,0,0,,error,overloaded_error,error,1454.0,False,bd92b107232016ba,92e5a49259e277da,7640
2026-07-03 01:01:56+00:00,req-00028801,,nightly_enrichment,openai,gpt-5,1077,274,0,0,,ok,,stop,2947.0,False,bd92b107232016ba,63a0812c58710389,4200
2026-07-03 01:02:23+00:00,req-00029106,,nightly_enrichment,openai,gpt-5,1243,193,0,0,,ok,,stop,2700.0,False,bd92b107232016ba,70b33def95f49d32,4847
2026-07-03 01:02:32+00:00,req-00029268,,nightly_enrichment,openai,gpt-5,1417,385,0,0,,ok,,stop,3699.0,False,bd92b107232016ba,be59209e53a7fa8f,5526
2026-07-03 01:02:43+00:00,req-00029211,,nightly_enrichment,openai,gpt-5,1388,151,0,0,,ok,,stop,1836.0,False,bd92b107232016ba,92beda182a1a42c9,5413
2026-07-03 01:02:55+00:00,req-00029424,,nightly_enrichment,openai,gpt-5,1646,212,0,0,,ok,,stop,2598.0,False,bd92b107232016ba,224eae706b88c601,6419
2026-07-03 01:03:02+00:00,req-00028862,,nightly_enrichment,openai,gpt-5,1478,176,0,0,,ok,,stop,1982.0,False,bd92b107232016ba,,5764
2026-07-03 01:03:11+00:00,req-00028889,,nightly_enrichment,openai,gpt-5,1012,133,0,0,,ok,,stop,2297.0,False,bd92b107232016ba,f15d064b2eb6fdd5,3946
2026-07-03 01:03:25+00:00,req-00029261,,nightly_enrichment,openai,gpt-5,1386,91,0,0,,ok,,stop,1336.0,False,bd92b107232016ba,a882d374c104c72b,5405
2026-07-03 01:03:50+00:00,req-00029378,,nightly_enrichment,openai,gpt-5,1098,136,0,0,,ok,,stop,1865.0,False,bd92b107232016ba,a3c299bd899e0107,4282
2026-07-03 01:04:05+00:00,req-00028788,,nightly_enrichment,openai,gpt-5,1510,146,0,0,,ok,,stop,1998.0,False,bd92b107232016ba,e390390d1bcb3632,5889
2026-07-03 01:04:06+00:00,req-00029468,,nightly_enrichment,openai,gpt-5,1884,171,0,0,,ok,,stop,2069.0,False,bd92b107232016ba,de9109b738789b38,7347
2026-07-03 01:04:10+00:00,req-00029340,,nightly_enrichment,openai,gpt-5,1032,206,0,0,,ok,,stop,2548.0,False,bd92b107232016ba,c26b5ae29b43c4b6,4024
2026-07-03 01:04:17+00:00,req-00029191,,nightly_enrichment,openai,gpt-5,1121,169,0,0,,ok,,stop,1833.0,False,bd92b107232016ba,907cc4e9eb70616a,4371
2026-07-03 01:04:55+00:00,req-00028875,,nightly_enrichment,openai,gpt-5,1208,134,0,0,,ok,,stop,2104.0,False,bd92b107232016ba,fe095b8da857cd66,4711
2026-07-03 01:05:06+00:00,req-00029022,,nightly_enrichment,openai,gpt-5,1490,94,0,0,,ok,,stop,1701.0,False,bd92b107232016ba,af1452ed7aff4d47,5811
2026-07-03 01:05:08+00:00,req-00028820,4d2e99c8960824de,nightly_enrichment,openai,gpt-5,1406,307,0,0,,ok,,stop,3033.0,False,bd92b107232016ba,58b37587272222dc,5483
2026-07-03 01:05:12+00:00,req-00028840,,nightly_enrichment,openai,gpt-5,1439,111,0,0,,ok,,stop,1601.0,False,bd92b107232016ba,319e196f733def8a,5612
2026-07-03 01:05:27+00:00,req-00029439,,nightly_enrichment,openai,gpt-5,1761,151,0,0,,ok,,stop,2214.0,False,bd92b107232016ba,8d89cd277b46c8ef,6867
2026-07-03 01:05:37+00:00,req-00029031,,nightly_enrichment,openai,gpt-5,1889,137,0,0,,ok,,stop,1952.0,False,bd92b107232016ba,210548c040b193b6,7367
2026-07-03 01:05:42+00:00,req-00029177,,nightly_enrichment,openai,gpt-5,1553,111,0,0,,ok,,stop,2020.0,False,bd92b107232016ba,24e9774e8a7f6f8c,6056
2026-07-03 01:06:06+00:00,req-00029167,,nightly_enrichment,openai,gpt-5,1635,192,0,0,,ok,,stop,2226.0,False,bd92b107232016ba,f5be5ed048582e2f,6376
2026-07-03 01:06:26+00:00,req-00029043,,nightly_enrichment,openai,gpt-5,1291,193,0,0,,ok,,stop,2222.0,False,bd92b107232016ba,f7879d5e16db3dc5,5034
2026-07-03 01:06:36+00:00,req-00029002,,nightly_enrichment,openai,gpt-5,1080,290,0,0,,ok,,stop,2840.0,False,bd92b107232016ba,54ec0e27097665f5,4212
2026-07-03 01:06:58+00:00,req-00029225,,nightly_enrichment,openai,gpt-5,1750,79,0,0,,ok,,stop,910.0,False,bd92b107232016ba,778204fb8ed0a782,6825
